amount,elapsed_sec,pc1,pc2,pc3,is_fraud
12.61,561,0.2395,0.2359,-0.2414,0
18.10,2510,-0.8188,0.1952,-0.7762,0
86.94,16419,-3.2622,3.0738,-4.4959,1
37.82,48059,0.8914,1.1659,0.2653,0
46.59,73675,-0.1804,0.4081,0.1739,0
28.58,33682,-0.2999,-0.0173,0.1561,0
50.69,18642,0.0073,-0.0525,-0.315,0
53.54,23391,-0.1953,0.3287,0.3503,0
143.16,17856,-3.1595,2.3942,-3.8546,1
16.80,60003,0.3982,-0.3657,0.0842,0
26.72,54727,-0.4759,0.2291,0.4478,0
50.39,47392,-0.0255,0.433,0.6019,0
663.81,79428,-1.685,2.8977,-4.367,1
27.29,60360,0.5842,0.0119,0.1678,0
68.69,82950,0.1026,-0.4095,-0.2734,0
74.35,39092,-0.5811,0.047,0.0593,0
170.87,68351,0.4318,-0.3078,0.1276,0
40.30,67273,-2.7572,2.231,-2.7668,1
178.28,28997,-0.4162,0.2707,0.5159,0
194.68,80530,-2.1946,2.4094,-3.823,1
12.41,61331,0.054,-0.3664,0.2285,0
261.91,20953,-4.1147,1.7981,-3.3342,1
108.32,27782,1.1352,-0.5139,0.6191,0
9.22,67691,-0.8363,-0.0361,-0.8376,0
138.85,36570,-0.2132,-0.1339,0.0244,0
47.23,50256,-0.3216,-0.7676,0.3929,0
193.46,42754,-0.1412,0.6543,-0.3595,0
55.51,23465,-0.4013,0.6326,-1.2387,0
154.39,4663,-2.4045,1.8347,-4.6175,1
102.75,41331,-2.3166,3.7909,-4.3208,1
127.29,27991,-3.1302,2.4372,-3.5522,1
25.44,85991,-0.9264,0.4512,0.3218,0
101.21,30484,-0.102,0.0396,0.1813,0
408.24,28163,-2.3163,3.0258,-4.1461,1
42.23,2645,0.1588,0.2251,-0.5918,0
49.97,66251,1.5054,0.3066,-0.3828,0
261.30,16983,-2.0827,2.2462,-5.0197,1
56.49,53709,-0.2686,0.2399,0.2729,0
731.24,71458,-2.4523,2.1039,-4.7661,1
290.18,32591,-3.6554,2.4433,-3.7177,1
22.64,2466,-0.5117,-0.3359,-0.5804,0
104.96,80069,-0.7913,2.0559,-4.167,1
24.48,73680,-0.2109,-0.4876,-0.8059,0
148.90,69160,-2.6812,2.312,-3.8136,1
105.20,75265,-3.0162,1.2332,-4.8427,1
81.76,30099,-2.7163,1.7624,-3.9606,1
79.61,60242,-0.2055,-0.0158,-0.2539,0
337.37,75203,-3.7693,2.6497,-4.6161,1
91.56,18315,-0.1894,0.6542,0.2178,0
64.41,75732,-0.4737,-0.6747,-0.3399,0
119.71,85129,-4.0421,2.2375,-3.6709,1
217.31,5833,-2.5452,3.0024,-3.9765,1
86.45,18509,-0.3575,0.2811,-1.0864,0
116.78,40089,0.7319,0.5357,0.344,0
16.48,77809,0.546,-0.179,-0.0251,0
43.00,52511,0.2115,-0.3122,0.1588,0
114.20,9049,-0.0395,-0.4065,-0.1823,0
141.18,71744,-4.0251,1.886,-5.7304,1
39.78,48624,-0.1246,0.3918,0.6375,0
21.77,62339,0.5037,0.455,0.8152,0
253.72,39761,-0.1014,0.0222,0.6571,0
24.41,8983,1.2283,-0.1371,0.0346,0
123.02,84807,-2.8147,2.6455,-3.2212,1
11.77,32380,-0.6043,-0.713,0.3756,0
24.47,38951,0.1942,0.1724,0.6097,0
394.26,62679,-1.8455,2.0823,-3.2044,1
28.73,65515,0.1006,-0.2417,-0.2386,0
24.28,6081,0.0227,-0.1585,0.3616,0
47.29,73317,-0.5893,-0.9485,0.371,0
29.14,68088,-0.2484,0.3986,-0.0468,0
78.62,56943,-2.9828,1.5597,-4.7701,1
15.25,44486,-0.0406,-0.1968,0.0407,0
84.89,85176,-2.1386,2.4484,-5.2335,1
480.12,54491,-3.1186,1.62,-5.0745,1
3.67,57037,-0.5146,-0.2421,-0.5187,0
38.08,22529,0.2674,-0.0153,-0.5576,0
179.25,34884,-2.0916,1.3478,-3.7301,1
932.10,67977,-4.3078,1.285,-3.7432,1
28.55,6853,-0.4517,0.0842,-0.0924,0
309.82,41364,-2.6928,2.2594,-5.5231,1
136.75,27520,0.3597,0.3819,0.1817,0
441.49,67986,0.7488,0.1795,0.1455,0
34.23,54453,-1.1388,-0.6272,0.792,0
450.42,19697,-2.7437,3.0298,-4.2505,1
23.86,32116,0.0551,-0.0343,0.7164,0
15.06,24834,0.4519,0.6067,-0.8856,0
36.54,46997,-0.9203,0.1933,0.3454,0
90.02,62471,-2.1116,2.4361,-3.7849,1
75.73,5294,-3.3825,2.7161,-3.824,1
42.67,37106,-0.2198,0.922,0.3634,0
24.94,43435,0.6761,0.6819,-0.4144,0
74.86,11655,-0.8995,0.17,0.5183,0
43.69,34869,-2.8166,1.9515,-3.9797,1
326.37,55989,-2.8182,3.0637,-3.4306,1
86.21,49891,-2.4975,2.6693,-4.3403,1
208.61,62019,-2.8281,3.3625,-3.3435,1
93.63,2014,-0.1111,0.1024,-0.5074,0
32.76,50988,-0.9886,-0.4176,-0.4729,0
28.63,12165,-0.6655,0.3364,-0.6408,0
17.89,7202,0.4496,0.3262,-0.592,0
