amount,elapsed_sec,pc1,pc2,pc3,is_fraud
25.80,58207,-0.142,0.6738,-1.084,0
71.31,78083,0.8685,-0.1388,-0.3885,0
68.49,25850,-3.0038,2.7289,-5.0862,1
68.91,80806,0.5825,0.1498,0.1353,0
27.36,76774,-0.281,-0.012,-0.4145,0
385.30,39226,-2.8991,2.0889,-4.2514,1
145.66,85316,0.5557,0.9733,0.0148,0
42.18,45893,0.0174,0.7689,0.1641,0
92.93,48118,-3.2186,1.1789,-4.858,1
186.65,10642,-3.4307,1.8164,-4.1091,1
28.26,57679,-0.0841,0.4021,-0.1749,0
76.07,73147,-2.3541,3.2231,-4.3308,1
44.95,50515,0.1257,0.2221,0.2629,0
164.89,48729,-2.1864,2.0236,-5.0113,1
45.11,53149,0.0066,-0.618,0.8368,0
123.34,70905,0.0202,1.021,-0.7591,0
12.71,69538,-0.5741,-0.6067,-0.4809,0
16.51,48284,-0.3447,-0.8705,0.092,0
64.14,49815,-0.0377,0.1563,0.2398,0
80.80,79677,-0.1697,-0.6414,-0.3864,0
922.49,78118,-2.4118,2.022,-3.5045,1
22.47,15522,1.2698,-0.4445,-0.0318,0
39.05,27876,-0.0497,-0.4929,0.6156,0
20.77,21193,0.1585,-0.3891,-0.0197,0
31.09,23979,-2.8363,1.118,-4.5308,1
103.30,33197,-2.9145,2.6122,-3.6025,1
42.23,83975,-0.2145,-0.0131,-0.4925,0
110.39,25257,0.5078,-0.7336,-0.0536,0
29.10,60003,-0.0658,-0.0286,-0.9795,0
108.71,73260,-0.8245,-0.0641,0.0546,0
72.29,83032,-0.294,-0.6945,0.3571,0
47.25,38522,0.1553,0.1167,0.2081,0
16.84,30641,0.6492,0.2912,0.2959,0
78.11,16561,-0.1586,0.7081,0.3867,0
27.47,61046,0.3438,-0.6565,-0.5577,0
324.91,58851,0.0819,-0.4716,-0.7589,0
35.72,57464,-0.2777,0.7578,-0.2887,0
466.09,21562,-3.3675,1.2982,-5.5046,1
59.74,71634,-0.8376,0.4798,0.1379,0
138.76,51945,-2.0,2.8479,-3.7795,1
17.86,64016,-0.5275,0.4555,0.4921,0
364.91,49414,0.3256,-0.4807,-0.6258,0
70.33,36681,-0.1474,-0.0869,-0.6006,0
23.48,36292,1.4643,0.5316,-0.5842,0
23.25,31552,-0.9255,0.2188,-0.2338,0
24.47,51632,-0.4015,-0.1655,-0.6321,0
20.69,26328,-0.6715,-0.2233,-0.4059,0
41.56,33291,-0.3179,0.6711,-0.1308,0
45.51,32681,-0.7335,0.766,-0.5972,0
41.44,52083,-0.6254,0.2717,0.0749,0
38.00,66576,-0.2262,0.2343,0.0748,0
41.29,19914,-0.2676,0.6902,0.105,0
39.94,21388,-0.5758,-0.0549,-0.0468,0
39.30,50657,-0.2056,-0.3686,-0.9439,0
19.96,21909,0.3054,-0.1699,-0.4247,0
276.86,15541,-2.7616,2.6591,-3.8224,1
259.06,41424,-2.6864,1.6385,-5.0442,1
11.40,18948,-0.751,-0.5902,-0.2581,0
85.93,24090,0.2032,0.2955,0.2319,0
22.76,73765,-0.9673,0.3294,-0.5879,0
52.45,64797,-0.0739,-0.3471,-0.0807,0
126.70,8388,-1.4082,-0.1786,0.2803,0
72.42,6766,0.0584,0.1732,-0.4257,0
189.60,25985,-3.6429,2.2805,-3.3638,1
13.42,73849,0.617,-0.1747,-0.4056,0
13.60,84515,-0.0834,-0.4775,-0.3655,0
159.24,27724,-3.2213,2.432,-4.0018,1
178.91,21073,-2.7892,1.8207,-4.8248,1
110.55,29167,-2.2747,1.8089,-4.043,1
23.89,2328,0.0149,-0.4742,1.1871,0
19.54,67198,-0.1933,0.0374,0.2489,0
8.59,31979,0.3644,0.0133,-2.2464,0
152.13,75404,-2.3234,3.2663,-3.0434,1
209.01,40697,-2.9046,3.0371,-3.1616,1
32.74,59085,0.519,0.0859,0.1099,0
56.94,78762,0.2279,0.1745,-0.3601,0
216.62,2735,-3.2712,1.4589,-2.6183,1
256.99,7340,-2.1118,2.3357,-4.9182,1
33.02,75480,-0.7208,-0.2526,0.2335,0
37.23,60064,-0.3833,0.1876,-0.7648,0
57.21,76177,-0.137,0.2294,0.3157,0
26.37,56887,0.2672,0.5048,-0.1604,0
316.80,14086,-3.3175,1.9549,-3.7019,1
194.20,9447,-2.7116,2.1542,-3.8958,1
120.97,84961,-2.8832,1.6371,-4.3346,1
21.62,51953,-0.0297,-0.2709,-0.0302,0
27.85,47103,0.238,-0.0739,-0.064,0
247.59,47585,-3.6181,2.365,-3.3799,1
340.85,14081,-3.7007,2.467,-4.8962,1
21.39,37846,-0.9206,0.3119,-0.0302,0
74.96,61952,-0.4062,0.7604,0.4789,0
23.40,52769,-0.2441,-0.4306,-0.8833,0
330.24,18024,-2.5177,1.3869,-2.018,1
141.87,49439,-1.7153,2.8117,-4.2361,1
